objectid,title,date,date_is_approximate,description,location,latitude,longitude,subject,source,identifier,donor,format_original,type,format,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
cities45,"Exterior view of Russell School (1884-1912) after the annex was built in 1888. Moscow, Idaho..",1890-01-01,,Moscow's first public school,Moscow,46.734314,-116.997582,schools;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-04b,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities45.jpg,image,/objects/cities45.jpg,/objects/small/cities45_sm.jpg,/objects/thumbs/cities45_th.jpg
cities59,"Barton House. Hotel on corner of Main Street and 4th Street. Moscow, Idaho.",1883,,"Built by R.H. Barton, Moscow's first hotel proprietor",Moscow,46.731705,-117.001342,hotels (public accommodations); horses;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-07a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities59.jpg,image,/objects/cities59.jpg,/objects/small/cities59_sm.jpg,/objects/thumbs/cities59_th.jpg
cities61,"People standing on porch of Moscow City Hotel. Moscow, Idaho.",1880,yes,"Owned by Carter family. Right to left: William Carter, Mrs. William Carter, 2 not identified, Nettie Young, Viola Carter, George Carter, others not identified",Moscow,46.731822,-117.001981,hotels (public accommodations);,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-08a,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities61.jpg,image,/objects/cities61.jpg,/objects/small/cities61_sm.jpg,/objects/thumbs/cities61_th.jpg
cities64,"Latah County Courthouse (1889-1958). Moscow, Idaho.",1889,,Taken soon after courthouse built,Moscow,46.730778,-116.996809,courthouses;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-11a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities64.jpg,image,/objects/cities64.jpg,/objects/small/cities64_sm.jpg,/objects/thumbs/cities64_th.jpg
cities66,"Interior view of cigar store in Moscow Hotel. Moscow, Idaho.",1895,,,Moscow,46.731797,-117.001659,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-12b,,4x7.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities66.jpg,image,/objects/cities66.jpg,/objects/small/cities66_sm.jpg,/objects/thumbs/cities66_th.jpg
cities69,"Interior view of Moscow Hotel (1891- ). Moscow, Idaho.",1894,yes,,Moscow,46.731797,-117.001659,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-12d,Grace C. Rubedew,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities69.jpg,image,/objects/cities69.jpg,/objects/small/cities69_sm.jpg,/objects/thumbs/cities69_th.jpg
cities70,"Sale held in front of old stable on northwest corner of 1st and Main Streets. Moscow, Idaho.",1890,yes,,Moscow,46.73372,-117.001289,stables (animal housing); horses; horse-drawn vehicles;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities70.jpg,image,/objects/cities70.jpg,/objects/small/cities70_sm.jpg,/objects/thumbs/cities70_th.jpg
cities73,"4th of July parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.731951,-117.001337,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13b-3a,,2-3.5x5.75 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,cities73.jpg,image,/objects/cities73.jpg,/objects/small/cities73_sm.jpg,/objects/thumbs/cities73_th.jpg
cities75,"4th of July parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.731951,-117.001337,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13b-4a,,2-3.5x5.75 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,cities75.jpg,image,/objects/cities75.jpg,/objects/small/cities75_sm.jpg,/objects/thumbs/cities75_th.jpg
cities81,"Main Street from intersection of Main and 5th. Moscow, Idaho.",1892,,,Moscow,46.731009,-117.001219,machinery shop; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13f,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities81.jpg,image,/objects/cities81.jpg,/objects/small/cities81_sm.jpg,/objects/thumbs/cities81_th.jpg
cities84,"Main Street from intersection of A and Main Streets. Moscow, Idaho",1920,,"Visible: Hotel Idaho, Williamson's Dept. Store.",Moscow,46.734573,-117.001407,main street; hotels (public accommodations);,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13i,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities84.jpg,image,/objects/cities84.jpg,/objects/small/cities84_sm.jpg,/objects/thumbs/cities84_th.jpg
cities87,"Birdseye view of business district from corner of 6th and Jackson Streets. Moscow, Idaho.",1920,,"Postcard. Caption reads 'No. 21 Birds eye view business district. Moscow, Idaho.",Moscow,46.730025,-117.002689,aerial views; lumber yards;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13j,,3.5x5.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities87.jpg,image,/objects/cities87.jpg,/objects/small/cities87_sm.jpg,/objects/thumbs/cities87_th.jpg
cities89,"Main Street. Moscow, Idaho.",1910,,"Visible: Wallace's Jewelry, David's. First automobile in town?",Moscow,46.732183,-117.001348,main street; horse-drawn vehicles;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13n,,3.5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities89.jpg,image,/objects/cities89.jpg,/objects/small/cities89_sm.jpg,/objects/thumbs/cities89_th.jpg
cities95,"4th of July parade on Main Street. Looking southwest from the corner of 6th and Main Streets. Moscow, Idaho.",1907-07-01,,Visible: Potlatch Lumber Co.,Moscow,46.730087,-117.001385,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13t,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities95.jpg,image,/objects/cities95.jpg,/objects/small/cities95_sm.jpg,/objects/thumbs/cities95_th.jpg
cities97,"Ringling Brothers Circus parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.730424,-117.001358,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13u,Homer David,5.5x6.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,cities97.jpg,image,/objects/cities97.jpg,/objects/small/cities97_sm.jpg,/objects/thumbs/cities97_th.jpg
cities98,"4th of July parade on Main Street. Moscow, Idaho.",1909,yes,,Moscow,46.730424,-117.001358,parades; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13v,Virgil Shepperd and Hannah Oldham,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities98.jpg,image,/objects/cities98.jpg,/objects/small/cities98_sm.jpg,/objects/thumbs/cities98_th.jpg
cities103,"Panoramic view from Administration Building of Moscow, Idaho.",1914,,,Moscow,46.725888,-117.01073,panoramas; university of Idaho;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14aa,,3x4.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities103.jpg,image,/objects/cities103.jpg,/objects/small/cities103_sm.jpg,/objects/thumbs/cities103_th.jpg
cities128,"Panoramic view of Moscow, Idaho.",1899,,,Moscow,46.716294,-116.992078,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14f,,3.5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities128.jpg,image,/objects/cities128.jpg,/objects/small/cities128_sm.jpg,/objects/thumbs/cities128_th.jpg
cities133,"Panoramic view of Moscow, Idaho from the west.",1903,,,Moscow,46.732889,-117.014877,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14i,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities133.jpg,image,/objects/cities133.jpg,/objects/small/cities133_sm.jpg,/objects/thumbs/cities133_th.jpg
cities144,"Panoramic view from campus of Moscow, Idaho.",1910,yes,Lake was in front of Ridenbaught Hall which was built to the right.,Moscow,46.72412,-117.011347,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14n,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities144.jpg,image,/objects/cities144.jpg,/objects/small/cities144_sm.jpg,/objects/thumbs/cities144_th.jpg
cities148,"Panoramic view from campus of Moscow, Idaho.",1910,yes,,Moscow,46.72412,-117.011347,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14o,,6.5x9.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities148.jpg,image,/objects/cities148.jpg,/objects/small/cities148_sm.jpg,/objects/thumbs/cities148_th.jpg
cities166,"Panoramic view of Moscow, Idaho.",1910,yes,Postcard,Moscow,46.72412,-117.011347,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14ww,,3.5x5.5 color print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities166.jpg,image,/objects/cities166.jpg,/objects/small/cities166_sm.jpg,/objects/thumbs/cities166_th.jpg
cities167,"Panoramic view from campus of Moscow, Idaho. Snow scene.",1920,yes,,Moscow,46.72412,-117.011347,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-14x,,5.5x8 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,cities167.jpg,image,/objects/cities167.jpg,/objects/small/cities167_sm.jpg,/objects/thumbs/cities167_th.jpg
cities180,"Unidentified home. Moscow, Idaho.",1910,yes,,Moscow,46.732373,-116.994084,buildings;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-15f,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities180.jpg,image,/objects/cities180.jpg,/objects/small/cities180_sm.jpg,/objects/thumbs/cities180_th.jpg
cities191,"McGregor House (1890- ). Moscow, Idaho.",1892,,National guard group standing in front. Dr. J.H. McCallie and Will Mix identified. House later became Gritman Hospital,Moscow,46.734551,-117.004051,hotels (public accommodations); soldiers;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-17a,Elbert Moody,6.25x8.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities191.jpg,image,/objects/cities191.jpg,/objects/small/cities191_sm.jpg,/objects/thumbs/cities191_th.jpg
cities201,"Elk City, Idaho.",1904,,,Elk City,45.827879,-115.43925,panoramas,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-116-1,Nez Perce County Historical Society,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities201.jpg,image,/objects/cities201.jpg,/objects/small/cities201_sm.jpg,/objects/thumbs/cities201_th.jpg
cities207,Moscow Fire Department Hose Co. No. 4.,1915,yes,On occasion of winning race at a fire drill. Individuals identified on back of mount.,Moscow,46.729377,-117.001557,fire equipment; firefighters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-24a,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities207.jpg,image,/objects/cities207.jpg,/objects/small/cities207_sm.jpg,/objects/thumbs/cities207_th.jpg
cities224,"L-R: Billie Allen, Little Gus Gustafson, Henry Holzman, Martin Hickman, Fred Franklin, Charlie Wong Gee standing in front of Old Blue Front Saloon. Elk City, Idaho.",1908,,Saloon burned with the town in 1924,Elk City,45.826263,-115.436611,exteriors; saloons (bars),"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-116-4a,Nez Perce County Historical Society,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities224.jpg,image,/objects/cities224.jpg,/objects/small/cities224_sm.jpg,/objects/thumbs/cities224_th.jpg
cities233,"Andrews Store. Interior view showing Mildred Dodge and Mr. & Mrs. Andrews. Moscow, Idaho.",1909,,,Moscow,46.733014,-117.00127,stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-40a,Virgil Shepperd and Hannah Oldham,4x6 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities233.jpg,image,/objects/cities233.jpg,/objects/small/cities233_sm.jpg,/objects/thumbs/cities233_th.jpg
cities234,"Andrews Store. Interior view showing Mildred Dodge and Mr. & Mrs. Andrews. Moscow, Idaho.",1909,,,Moscow,46.733014,-117.00127,stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-40b,Virgil Shepperd and Hannah Oldham,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,cities234.jpg,image,/objects/cities234.jpg,/objects/small/cities234_sm.jpg,/objects/thumbs/cities234_th.jpg
